Word,Count
the,992
*,712
of,625
<<,560
is,431
a,396
//,390
de,382
for,329
cout,327
it,324
FluxSol,322
Public,291
General,291
GNU,291
-,269
{,241
or,237
},221
el,218
be,201
version,195
License,194
\License,\,194
if,175
in,172
file,170
la,170
que,138
to,136
es,135
(int,133
A,131
This,125
TO,125
as,121
los,120
will,119
Luciano,118
can,116
For,113
that,112
by,111
3,109
FOR,109
but,106
part,105
more,104
Free,104
any,101
either,100
you,100
copy,100
modify,100
details,99
later,99
WITHOUT,98
see,98
See,98
and,98
=,98
without,98
WARRANTY;,97
Copyright,97
redistribute,97
free,97
software:,97
***********************************************************************,97
hope,97
distributed,97
Software,97
published,97
implied,97
warranty,97
PARTICULAR,97
\Foundation,\,97
\useful,\,97
ANY,97
PURPOSE,97
************************************************************************,97
under,97
even,97
FITNESS,97
terms,97
<http://www.gnu.org/licenses/>,97
MERCHANTABILITY,97
and/or,97
luciano.buglioni@gmail.com,95
int,94
Buglioni,94
en,93
cell,91
un,83
no,82
las,81
endl;,76
const,76
del,74
Contact:,74
\"\\,73
vector,72
2012-2013,71
y,70
una,67
face,59
para,56
con,54
faces,52
boundary,52
else,51
template,51
<typename,49
Pablo,48
vertices,47
must,47
field,45
MODIFY,44
<,44
are,43
\"\<<\,43
T>,41
If,41
IS,41
<T>,41
nodos,40
tensor,39
number,39
T,37
return,37
End,37
Loop,37
se,37
cells,37
DE,37
Si,36
THIS,36
si,35
<<endl;,35
not,33
cara,33
&,32
Fin,32
void,32
malla,31
+,31
1,31
NOT,30
flux,30
from,30
Nastran,30
indice,29
El,29
Boundary,29
0,29
\MODIFY,\,29
all,29
por,29
node,28
string,28
n=0;n<grid[gid].nodeCount;++n),27
each,27
through,27
OpenFoam,26
zone,26
Es,26
with,26
campo,26
o,26
al,26
Scalar,25
patch,25
nodo,25
lo,25
archivo,25
elementos,25
Zitelli,25
values,24
innerProduct,24
an,23
ser,23
2,23
Buglioni:,23
2012-2014,23
zitelli.pablo@gmail.com,23
EqnSystem,23
Contacts:,23
caras,23
Zitelli:,23
Return,22
ierr,22
between,22
como,22
son,22
then,22
dim>,21
zero,21
_CC_Fv_Field,21
std::vector,21
id,21
funcion,21
Field,20
Eqn,20
typename,20
new,20
namespace,20
Read,20
this,20
tiene,20
AND,20
data,20
equal,20
MUST,20
\number,int\,19
NASTRAN,19
FIELD,19
esta,19
bc,19
mas,19
Check,19
mesh,19
En,19
bool,18
>,18
\"\Face\,18
),18
element,18
cada,18
found,18
aca,18
Vec3D,18
inner,18
primer,18
type,18
list,18
\"\Cell\,18
global,17
has,17
<Scalar>,17
NO,17
forma,17
//cout,17
Cell,17
Vector,17
esto,17
calculo,17
tipo,17
fi,17
todos,16
#include,16
ya,16
QUE,16
The,16
GeomField<T>,16
than,16
BE,16
neighbour,16
conditions,16
MODIFY:,16
nodes,16
Like,16
variable,16
product,16
IF,16
clase,16
at,16
double,16
Aca,16
0;,16
elements,15
PetscInt,15
large,15
Devuelve,15
numero,15
vertice,15
condition,15
::type>,15
gradient,15
case,15
celda,15
break;,15
elemento,15
Esto,15
Find,15
To,15
inline,15
ver,15
&&,15
Fv_CC_Grid,15
<int>,15
Esta,15
//TO,15
puede,15
object,15
pero,14
LA,14
central,14
output,14
4,14
rank,14
operator,14
\Vec3D,\,14
Id,13
puedo,13
constructor,13
BOUNDARY,13
Numero,13
Face,13
c,13
Flux,13
IN,13
este,13
le,13
value,13
CELLS,13
EXAMPLE,13
index,13
&right),12
array,12
Correction,12
UN,12
La,12
use,12
siempre,12
Constructor,12
scalar,12
solo,12
CBUSH,12
LOS,12
set,12
<Vec3D>,12
\"\<<endl;\,12
,12
time,12
first,12
hacer,12
devuelve,12
into,12
current,12
PARA,12
function,11
Must,11
was,11
divergencia,11
separated,11
BC,11
\"\Eqn\,11
have,11
variables,11
reference,11
end,11
vertex,11
i,11
given,11
matrix,11
corrected,11
Para,11
general,11
borde,11
steps,11
class,11
::type,11
valor,11
coma,10
templates,10
WITH,10
loop,10
Ahora,10
No,10
Inicio,10
Patch,10
caso,10
CHANGE,10
on,10
eqn,10
coordenadas,10
Pyramid,10
\T,\,10
indices,10
iguales,10
Pressure,10
(Sf,10
Vec3D>,10
Prism,10
otro,10
escalar,10
correction,10
name,10
Construct,10
(ro,10
vector<int>,10
fluxes,10
one,10
ro*U,9
fi(f),9
Sizes,9
we,9
left,9
constant,9
Solve,9
continuacion,9
MESH,9
\0,\,9
initialized,9
cuando,9
only,9
EL,9
\1,\,9
correct,9
_FvFace,9
trough,9
FROM,9
size,9
those,9
\free-cfd,\,9
FUNCIONES,9
EN,9
U,9
source,9
conectividades,9
Hexa,9
porque,9
spherical,9
};,9
celdas,9
muestra,9
desde,9
Can,9
posicion,9
Ojo,9
U)f,9
inicia,8
while,8
Creo,8
CFD,8
Look,8
Correct,8
Values,8
CONST,8
*ret=new,8
ap,8
il),8
same,8
x,8
throug,8
(Wedge),8
modelo,8
ids,8
todo,8
(const,8
inicio,8
neighbours,8
Tetra,8
Busco,8
section,8
Recorro,8
region,8
OF,8
internal,8
\"\;\,8
subfolders,8
hay,8
null,8
p,8
tengo,8
base,8
look,8
val;,8
tener,8
these,8
fields,8
va,8
ES,8
principio,8
In,8
Este,8
information,8
\<<"\Face\,7
now,7
entre,7
First,7
derecha,7
LAS,7
\"\<<meshp<<endl;\,7
material,7
\fileName=filePath+"\/grid_"\\,7
int2str(gid+1),7
before,7
partes,7
encontro,7
\outerProduct<Vec3D,\,7
volume,7
input,7
nastran,7
!NullFluxFace,7
Eqn<T>,7
phi,7
Construir,7
components,7
haber,7
ret;,7
Mesh,7
Inner-product,7
dimensiones,7
method,7
exponente,7
These,7
podria,7
r;,7
Constructores,7
Leo,7
ARE,7
abort(FatalError);,7
Campo,7
hace,7
Formerly,7
cual,7
cantidad,7
////////,7
val,7
solver,7
read,7
dummy,7
pos?,7
SE,7
idface,7
Sum_f,7
switch,7
OR,7
repeated,7
fin,7
\"\Creating\,7
temporary,7
//Como,7
patches,7
COEFFS,7
pressure,7
SurfaceField,7
f<<,7
(,7
Begin,7
THE,7
T>::type,7
\"\_proc_"\+int2str(Rank)+"\.vtu"\;\,7
upwind,6
count,6
CLASS,6
probar,6
free-cfd,6
virtual,6
hago,6
operador,6
inheritance,6
delete,6
Primero,6
salida,6
coefficient,6
operators,6
Store,6
assign,6
prod,6
CELL,6
me,6
voy,6
pointer,6
mismo,6
Assuming,6
THESE,6
Instead,6
lado,6
_Field<T>,6
right,6
It,6
Foam,6
lectura,6
Number,6
doy,6
linea,6
sentence,6
PetscScalar,6
vectors,6
//If,6
\conditions,\,6
Member,6
\&icell,\,6
write,6
local,6
out,6
Surface,6
test,6
fp,6
Generate,6
decimales,6
RETURN,6
//for,6
zones,6
posiciones,6
DoFHandler<dim>,6
----,6
f,6
Constructors,6
different,6
producto,6
//Boundary,6
parametros,6
FVGRID,6
encuentra,6
simple,6
------------------,6
using,6
point,6
BASE,6
ACA,6
\loop"\<<endl;\,6
both,6
salvo,6
Materiales,6
finitos,6
Operators,6
normal,6
convenient,6
neigh,6
tempNodes=,6
\cero,\,6
this->,6
against,6
tienen,6
flujo,6
////////////////,6
\filePath="\./output/"\+int2str(timeStep);\,6
operator=(const,6
-------,6
==,6
coordinates,6
TODOS,6
CLASE,6
Tengo,6
constante,6
v,6
TENGO,6
Div,6
dps,6
Gauss,6
template<typename,6
sin,5
NON,5
Las,5
Gradient,5
inherited,5
Adding,5
Nodos,5
c++),5
NODOS,5
MyList<int>wallfaces,5
Binary,5
raw,5
r,5
puntero,5
bidimensional,5
log,5
Operadores,5
them,5
definiendo,5
\&row,\,5
1),5
\"\\t"\\,5
\&ind,\,5
used,5
&value),5
Rank,5
funciones,5
campos,5
\"\Grid\,5
CAN,5
LO,5
ARCHIVO,5
phi),5
walls,5
FLUXSOL,5
antes,5
\"\Boundary\,5
Funciones,5
Search,5
segun,5
Se,5
primera,5
&);,5
significativos,5
single,5
non,5
USE,5
every,5
calculate,5
--------------,5
Chequeo,5
member,5
/*,5
specification,5
Class,5
numeros,5
entry,5
std::vector<int>,5
está,5
BECAUSE,5
could,5
filas,5
interiores,5
verificacion,5
Create,5
types,5
And,5
falta,5
