Word,Count
the,1166
*,746
of,713
<<,614
is,462
a,424
//,394
de,383
for,357
cout,336
it,334
FluxSol,322
**,312
Public,291
GNU,291
General,291
-,278
or,258
{,245
},225
be,222
el,218
in,209
file,199
version,198
License,194
\License,\,194
to,191
if,178
la,170
and,161
=,150
A,140
que,138
This,137
(int,136
es,135
as,135
TO,133
ANY,129
FOR,126
that,125
will,123
can,121
los,120
Luciano,118
by,116
For,116
without,116
part,113
and/or,113
3,112
Copyright,107
but,107
more,107
terms,107
PURPOSE,105
MERCHANTABILITY,105
under,105
PARTICULAR,105
FITNESS,105
Free,104
any,103
you,101
either,100
modify,100
copy,100
later,99
details,99
see,98
WITHOUT,98
See,98
int,98
distributed,97
\useful,\,97
***********************************************************************,97
WARRANTY;,97
<http://www.gnu.org/licenses/>,97
software:,97
warranty,97
published,97
************************************************************************,97
even,97
implied,97
redistribute,97
\Foundation,\,97
hope,97
Software,97
free,97
luciano.buglioni@gmail.com,95
Buglioni,94
\"\\,94
en,93
cell,92
no,84
un,83
Contact:,82
las,81
const,77
endl;,77
OF,76
del,74
vector,73
OR,71
2012-2013,71
y,70
are,70
una,67
face,67
must,66
this,62
AND,56
para,56
with,54
con,54
faces,54
THIS,53
boundary,52
else,51
template,51
IS,50
from,49
<typename,49
Pablo,48
void,48
vertices,48
<,48
NOT,47
THE,47
field,47
If,46
MODIFY,44
\"\<<\,44
return,41
<T>,41
T>,41
nodos,40
conditions,40
tensor,39
number,39
1,38
End,37
cells,37
use,37
T,37
se,37
DE,37
Loop,37
IN,37
not,36
<<endl;,36
Si,36
si,35
data,35
0,34
list,34
&,33
cara,33
new,33
all,32
\MODIFY,\,32
Fin,32
malla,31
+,31
Nastran,30
flux,30
each,30
indice,29
El,29
por,29
Boundary,29
its,28
string,28
node,28
following,27
source,27
The,27
n=0;n<grid[gid].nodeCount;++n),27
through,27
BE,27
OpenFoam,26
al,26
zone,26
2,26
an,26
campo,26
then,26
Es,26
o,26
Zitelli,25
elementos,25
lo,25
IF,25
values,25
nodo,25
archivo,25
patch,25
Scalar,25
NO,25
innerProduct,24
between,24
(,24
zitelli.pablo@gmail.com,23
caras,23
MUST,23
2012-2014,23
Contacts:,23
Buglioni:,23
EqnSystem,23
Zitelli:,23
ser,23
namespace,23
como,22
ierr,22
Return,22
bool,22
son,22
_CC_Fv_Field,21
dim>,21
id,21
funcion,21
Read,21
#include,21
0;,21
double,21
std::vector,21
type,21
zero,21
typename,20
),20
at,20
equal,20
Eqn,20
tiene,20
may,20
Field,20
bc,19
FIELD,19
Face,19
i,19
mas,19
found,19
Check,19
\number,int\,19
mesh,19
En,19
>,19
name,19
esta,19
break;,19
NASTRAN,19
//cout,18
element,18
has,18
primer,18
\"\Face\,18
\"\Cell\,18
case,18
cada,18
provided,18
binary,18
vertex,18
Vec3D,18
aca,18
above,18
on,18
BUT,18
inner,18
forma,17
tipo,17
global,17
esto,17
we,17
<Scalar>,17
Like,17
first,17
Vector,17
index,17
Qt,17
