File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-CAE\Axes.cpp,71,44,24,1,15,1,12,63,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-CAE\GraphicModel.cpp,95,57,36,8,28,0,10,40,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-CAE\GraphicResults.cpp,1,1,0,0,0,0,0,0,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-CAE\GridSelection.cpp,217,148,92,6,50,2,19,95,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-CAE\main.cpp,54,15,6,1,18,0,21,54,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-CAE\MainWindow.cpp,192,81,51,3,21,0,90,347,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-CAE\ModelTree.cpp,52,24,12,1,13,2,15,48,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-CAE\Param.cpp,441,337,300,1,97,4,7,41,7,36
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-CAE\ParamDialog.cpp,53,42,28,0,11,0,0,0,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-CAE\SimpleView.cpp,1289,627,413,25,326,11,336,1047,8,63
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-CAE\sortdialog.cpp,28,26,17,0,1,0,1,2,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-CAE\Tetrahedron.cpp,120,111,91,5,8,0,1,1,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-CAE\GraphicModel.h,49,34,19,0,15,7,0,22,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-CAE\GraphicResults.h,8,4,2,0,4,0,0,0,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-CAE\GridSelection.h,166,126,46,1,34,0,6,13,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-CAE\MainWindow.h,84,48,38,0,10,0,26,132,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-CAE\ModelTree.h,19,14,6,0,5,1,0,1,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-CAE\Param.h,441,337,300,1,97,4,7,41,7,36
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-CAE\ParamDialog.h,34,25,15,0,7,0,2,6,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-CAE\SimpleView.h,211,118,28,0,64,7,29,128,16,69
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-CAE\sortdialog.h,11,10,3,0,1,0,0,0,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-CAE\Tetrahedron.h,34,32,16,0,2,0,0,0,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-CAE\ui_sortdialog.h,246,183,143,1,55,4,8,47,8,42
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-CAE\Qt-Tests\cube\geometryengine.cpp,165,76,56,0,24,30,65,556,39,295
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-CAE\Qt-Tests\cube\main.cpp,61,19,9,1,3,0,39,295,39,295
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-CAE\Qt-Tests\cube\mainwidget.cpp,192,83,53,5,37,0,72,463,39,295
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-CAE\Qt-Tests\cube\geometryengine.h,62,16,8,0,7,1,39,295,39,295
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-CAE\Qt-Tests\cube\mainwidget.h,91,38,22,0,14,1,39,295,39,295
